GeneSymbol,Chromosome,Start,ReferenceAllele,AlternateAllele,ClinicalSignificance,PhenotypeList,Assembly,Type
PAX3,2,222297150,na,na,Pathogenic,Waardenburg syndrome type 1,GRCh38,single nucleotide variant
PAX3,2,222297057,na,na,Pathogenic/Likely pathogenic,Waardenburg syndrome type 1|not provided,GRCh38,single nucleotide variant
PAX3,2,222297048,na,na,Pathogenic,Waardenburg syndrome type 3|Waardenburg syndrome type 1|not provided,GRCh38,single nucleotide variant
PAX3,2,222297158,na,na,Likely pathogenic,Craniofacial-deafness-hand syndrome|not provided,GRCh38,single nucleotide variant
PAX3,2,222297160,na,na,Pathogenic,Waardenburg syndrome type 3,GRCh38,single nucleotide variant
PAX3,2,222297031,na,na,Pathogenic,Waardenburg syndrome type 3,GRCh38,single nucleotide variant
PAX3,2,222297132,na,na,Pathogenic/Likely pathogenic,Waardenburg syndrome type 1|Waardenburg syndrome|not provided,GRCh38,single nucleotide variant
FKRP,19,46756376,na,na,Likely pathogenic,"Muscular dystrophy-dystroglycanopathy (congenital without impaired intellectual development), type B, 5|Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A5|Walker-Warburg congenital muscular dystrophy|not provided",GRCh38,single nucleotide variant
FKRP,19,46756604,na,na,Pathogenic/Likely pathogenic,"Muscular dystrophy-dystroglycanopathy (congenital without impaired intellectual development), type B, 5|Walker-Warburg congenital muscular dystrophy|Cardiovascular phenotype|Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A5|not provided|Muscular dystrophy-dystroglycanopathy type B5;Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A5;Autosomal recessive limb-girdle muscular dystrophy type 2I",GRCh38,single nucleotide variant
FKRP,19,46756793,na,na,Pathogenic/Likely pathogenic,"not provided|Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A5;Muscular dystrophy-dystroglycanopathy type B5;Autosomal recessive limb-girdle muscular dystrophy type 2I;Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A1|Muscular dystrophy-dystroglycanopathy (congenital without impaired intellectual development), type B, 5|Cardiovascular phenotype|Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A5|Walker-Warburg congenital muscular dystrophy",GRCh38,single nucleotide variant
FKRP,19,46756276,na,na,Pathogenic/Likely pathogenic,"Autosomal recessive limb-girdle muscular dystrophy type 2I|not provided|Limb-girdle muscular dystrophy|Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A5;Muscular dystrophy-dystroglycanopathy type B5;Autosomal recessive limb-girdle muscular dystrophy type 2I|Walker-Warburg congenital muscular dystrophy|Muscular dystrophy-dystroglycanopathy type B5|Muscular dystrophy-dystroglycanopathy|Autosomal recessive limb-girdle muscular dystrophy|8 conditions|Cardiovascular phenotype|Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A5|Myopathy|FKRP-related disorder|Neuronopathy, distal hereditary motor, type 2B|Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A5;Muscular dystrophy-dystroglycanopathy type B5;Autosomal recessive limb-girdle muscular dystrophy type 2I;Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A1|Nizon-Isidor syndrome|Myopathy caused by variation in FKRP|FKRP-related muscular dystrophy-dystroglycanopathy",GRCh38,single nucleotide variant
FKRP,19,46756936,na,na,Pathogenic/Likely pathogenic,Autosomal recessive limb-girdle muscular dystrophy type 2I|Walker-Warburg congenital muscular dystrophy|Muscular dystrophy-dystroglycanopathy|not provided|Autosomal recessive limb-girdle muscular dystrophy,GRCh38,single nucleotide variant
FKRP,19,46756396,na,na,Pathogenic/Likely pathogenic,Muscular dystrophy-dystroglycanopathy type B5|Autosomal recessive limb-girdle muscular dystrophy type 2I|not provided|Walker-Warburg congenital muscular dystrophy,GRCh38,single nucleotide variant
FKRP,19,46756113,na,na,Likely pathogenic,"Muscular dystrophy-dystroglycanopathy type B5|Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A5",GRCh38,single nucleotide variant
FKRP,19,46756814,na,na,Pathogenic,"Muscular dystrophy-dystroglycanopathy type B5|Walker-Warburg congenital muscular dystrophy|not provided|Autosomal recessive limb-girdle muscular dystrophy type 2I|Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A5",GRCh38,single nucleotide variant
FKRP,19,46756663,na,na,Likely pathogenic,"Muscular dystrophy-dystroglycanopathy type B5|Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A5",GRCh38,single nucleotide variant
FKRP,19,46755610,na,na,Pathogenic,Autosomal recessive limb-girdle muscular dystrophy type 2I|Walker-Warburg congenital muscular dystrophy|Autosomal recessive limb-girdle muscular dystrophy,GRCh38,single nucleotide variant
FKRP,19,46755685,na,na,Conflicting classifications of pathogenicity,Autosomal recessive limb-girdle muscular dystrophy type 2I|not specified|not provided|Walker-Warburg congenital muscular dystrophy|Cardiovascular phenotype,GRCh38,single nucleotide variant
FKRP,19,46756214,na,na,Pathogenic,Autosomal recessive limb-girdle muscular dystrophy type 2I,GRCh38,single nucleotide variant
FKRP,19,46755850,na,na,Uncertain significance,Autosomal recessive limb-girdle muscular dystrophy type 2I|Walker-Warburg congenital muscular dystrophy,GRCh38,single nucleotide variant
FKRP,19,46756349,na,na,Pathogenic/Likely pathogenic,"Autosomal recessive limb-girdle muscular dystrophy type 2I|Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A1|Autosomal recessive limb-girdle muscular dystrophy|not provided|Walker-Warburg congenital muscular dystrophy|Cardiovascular phenotype|Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A5|Muscular dystrophy-dystroglycanopathy type B5;Autosomal recessive limb-girdle muscular dystrophy type 2I;Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A5",GRCh38,single nucleotide variant
FKRP,19,46756369,na,na,Pathogenic/Likely pathogenic,"Autosomal recessive limb-girdle muscular dystrophy type 2I|Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A5|not provided|Walker-Warburg congenital muscular dystrophy|FKRP-related disorder|Autosomal recessive limb-girdle muscular dystrophy",GRCh38,single nucleotide variant
FKRP,19,46756403,na,na,Likely pathogenic,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A5",GRCh38,single nucleotide variant
FKRP,19,46756837,na,na,Pathogenic/Likely pathogenic,"Muscular dystrophy|Walker-Warburg congenital muscular dystrophy|not provided|Muscular dystrophy-dystroglycanopathy type B5|Autosomal recessive limb-girdle muscular dystrophy|Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A5|Autosomal recessive limb-girdle muscular dystrophy type 2I|Muscular dystrophy-dystroglycanopathy (congenital without impaired intellectual development), type B, 5|Cardiovascular phenotype|Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A5;Muscular dystrophy-dystroglycanopathy type B5;Autosomal recessive limb-girdle muscular dystrophy type 2I;Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A1",GRCh38,single nucleotide variant
ENAM,4,70635895,na,na,Pathogenic,Amelogenesis imperfecta - hypoplastic autosomal dominant - local,GRCh38,single nucleotide variant
ENAM,4,70631882,na,na,Pathogenic,Amelogenesis imperfecta - hypoplastic autosomal dominant - local,GRCh38,single nucleotide variant
OPA3,19,45553912,na,na,Pathogenic,3-Methylglutaconic aciduria type 3|not provided|3-Methylglutaconic aciduria type 3;Optic atrophy 3,GRCh38,single nucleotide variant
OPA3,19,45553777,na,na,Pathogenic,Optic atrophy 3,GRCh38,single nucleotide variant
OPA3,19,45553741,na,na,Pathogenic,Optic atrophy 3|not provided|3-Methylglutaconic aciduria type 3;Optic atrophy 3,GRCh38,single nucleotide variant
MYLK2,20,31820333,na,na,Conflicting classifications of pathogenicity,"Cardiomyopathy, hypertrophic, midventricular, digenic|Hypertrophic cardiomyopathy 1|not provided|not specified",GRCh38,single nucleotide variant
MYLK2,20,31820357,na,na,Benign/Likely benign,"Cardiomyopathy, hypertrophic, midventricular, digenic|not specified|Hypertrophic cardiomyopathy 1|not provided|Cardiomyopathy|MYLK2-related disorder",GRCh38,single nucleotide variant
LZTS1,8,20255097,na,na,Pathogenic,"Esophageal squamous cell carcinoma, somatic",GRCh38,single nucleotide variant
LZTS1,8,20253576,na,na,Pathogenic,"Esophageal squamous cell carcinoma, somatic",GRCh38,single nucleotide variant
MYO5B,18,49963032,na,na,Uncertain significance,Congenital microvillous atrophy|not specified,GRCh38,single nucleotide variant
MYO5B,18,50036982,na,na,Pathogenic,Congenital microvillous atrophy,GRCh38,single nucleotide variant
MYO5B,18,49974547,na,na,Pathogenic,Congenital microvillous atrophy|not provided,GRCh38,single nucleotide variant
MYO5B,18,49936289,na,na,Conflicting classifications of pathogenicity,Congenital microvillous atrophy|not provided,GRCh38,single nucleotide variant
MYO5B,18,49936276,na,na,Pathogenic,Congenital microvillous atrophy|not provided,GRCh38,single nucleotide variant
SCGB3A2,5,147878599,na,na,risk factor,Inherited susceptibility to asthma,GRCh38,single nucleotide variant
CYP27A1,2,218814716,na,na,Pathogenic,Cholestanol storage disease|not provided|CYP27A1-related disorder,GRCh38,single nucleotide variant
CYP27A1,2,218814186,na,na,Pathogenic/Likely pathogenic,Cholestanol storage disease|not provided|Intellectual disability|Cardiovascular phenotype|CYP27A1-related disorder,GRCh38,single nucleotide variant
CYP27A1,2,218812923,na,na,Pathogenic,Cholestanol storage disease|not provided,GRCh38,single nucleotide variant
CYP27A1,2,218812750,na,na,Pathogenic,Cholestanol storage disease|not provided,GRCh38,single nucleotide variant
CYP27A1,2,218814702,na,na,Pathogenic,Cholestanol storage disease|CYP27A1-related disorder|not provided,GRCh38,single nucleotide variant
CYP27A1,2,218814701,na,na,Pathogenic/Likely pathogenic,Cholestanol storage disease|not provided|CYP27A1-related disorder,GRCh38,single nucleotide variant
CYP27A1,2,218814409,na,na,Pathogenic/Likely pathogenic,Cholestanol storage disease|not provided|Intellectual disability,GRCh38,single nucleotide variant
CYP27A1,2,218814186,na,na,Pathogenic/Likely pathogenic,Cholestanol storage disease,GRCh38,single nucleotide variant
CYP27A1,2,218814459,na,na,Pathogenic,Cholestanol storage disease|not provided|CYP27A1-related disorder,GRCh38,single nucleotide variant
CYP27A1,2,218809755,na,na,Pathogenic,Cholestanol storage disease,GRCh38,single nucleotide variant
CYP27A1,2,218813095,na,na,Pathogenic/Likely pathogenic,Cholestanol storage disease|not provided|CYP27A1-related disorder,GRCh38,single nucleotide variant
CYP27A1,2,218814716,na,na,Conflicting classifications of pathogenicity,Cholestanol storage disease|not provided,GRCh38,single nucleotide variant
MLPH,2,237493529,na,na,Likely pathogenic,Griscelli syndrome type 3,GRCh38,single nucleotide variant
SLC25A19,17,75278265,na,na,Pathogenic,Amish lethal microcephaly,GRCh38,single nucleotide variant
ZMPSTE24,1,40285988,na,na,Pathogenic,Mandibuloacral dysplasia with type B lipodystrophy|not provided,GRCh38,single nucleotide variant
ZMPSTE24,1,40258392,na,na,Pathogenic,Mandibuloacral dysplasia with type B lipodystrophy|not provided,GRCh38,single nucleotide variant
ZMPSTE24,1,40272009,na,na,Pathogenic,Mandibuloacral dysplasia with type B lipodystrophy|not provided,GRCh38,single nucleotide variant
ZMPSTE24,1,40271981,na,na,Pathogenic,Lethal tight skin contracture syndrome|not provided,GRCh38,single nucleotide variant
ITPKC,19,40718299,na,na,Conflicting classifications of pathogenicity,ITPKC-related disorder|Reclassified - variant of unknown significance,GRCh38,single nucleotide variant
NOP10,15,34342063,na,na,Pathogenic,"Dyskeratosis congenita, autosomal recessive 1",GRCh38,single nucleotide variant
NHP2,5,178149760,na,na,Pathogenic,"Dyskeratosis congenita, autosomal recessive 2|Dyskeratosis congenita, autosomal recessive 1",GRCh38,single nucleotide variant
NHP2,5,178149799,na,na,Pathogenic,"Dyskeratosis congenita, autosomal recessive 2|Dyskeratosis congenita, autosomal recessive 1",GRCh38,single nucleotide variant
NHP2,5,178149715,na,na,Pathogenic,"Dyskeratosis congenita, autosomal recessive 2|Dyskeratosis congenita, autosomal recessive 1|not provided",GRCh38,single nucleotide variant
HAMP,19,35284953,na,na,Pathogenic,Hemochromatosis type 2B,GRCh38,single nucleotide variant
HAMP,19,35284999,na,na,Benign/Likely benign,"Hemochromatosis, type 2a, modifier of|Hereditary hemochromatosis|not specified|Hemochromatosis type 1|Hemochromatosis type 2B|not provided|HAMP-related disorder",GRCh38,single nucleotide variant
HAMP,19,35282553,na,na,Pathogenic/Likely pathogenic,Hemochromatosis type 2B|Hereditary hemochromatosis,GRCh38,single nucleotide variant
GBA1,1,155235252,na,na,Pathogenic; risk factor,"Gaucher disease type III|Parkinson disease, late-onset|Gaucher disease type II|Gaucher disease type I|Dementia, Lewy body, susceptibility to|Gaucher disease|not provided|Gaucher disease perinatal lethal|Gaucher disease type II;Gaucher disease type III;Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome;Gaucher disease type I|Hypomimic face;Movement disorder;Parkinsonian disorder;Resting tremor;Thoracolumbar scoliosis|7 conditions|Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome|GBA1-related disorder|Lewy body dementia|not specified",GRCh38,single nucleotide variant
GBA1,1,155235708,na,na,Pathogenic,Gaucher disease type II,GRCh38,single nucleotide variant
GBA1,1,155235843,na,na,Pathogenic/Likely pathogenic; risk factor,"Dementia, Lewy body, susceptibility to|Gaucher disease type I|Parkinson disease, late-onset|not provided|Gaucher disease|7 conditions|Rigidity;Akinesia|Gaucher disease perinatal lethal|Lewy body dementia|Gaucher disease type II;Gaucher disease type III;Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome;Gaucher disease type I|Abnormal bleeding;Thrombocytopenia|Parkinson disease|GBA1-related disorder|not specified|Lewy body dementia;Parkinson disease, late-onset",GRCh38,single nucleotide variant
GBA1,1,155238629,na,na,Pathogenic/Likely pathogenic,Gaucher disease perinatal lethal|Gaucher disease type I|Gaucher disease|not provided|Gaucher disease type I;Gaucher disease type II;Gaucher disease type III;Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome,GRCh38,single nucleotide variant
GBA1,1,155235772,na,na,Pathogenic/Likely pathogenic,"Gaucher disease type I|Gaucher disease type III|Gaucher disease|7 conditions|Gaucher disease type I;Gaucher disease type II;Gaucher disease type III;Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome|not provided|Parkinson disease, late-onset",GRCh38,single nucleotide variant
GBA1,1,155235727,na,na,Pathogenic/Likely pathogenic,"Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome|Gaucher disease type I|Gaucher disease type II|Gaucher disease type III|Gaucher disease perinatal lethal|Gaucher disease|not provided|Gaucher disease type II;Gaucher disease type III;Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome;Gaucher disease type I|7 conditions|Parkinson disease, late-onset|not specified",GRCh38,single nucleotide variant
GBA1,1,155235726,na,na,Pathogenic/Likely pathogenic,Gaucher disease type III|Gaucher disease|Gaucher disease type I,GRCh38,single nucleotide variant
GBA1,1,155235196,na,na,Pathogenic,"Gaucher disease type I|Gaucher disease type II|Gaucher disease type III|Parkinson disease, late-onset|Gaucher disease|not provided|7 conditions|Gaucher disease type II;Gaucher disease type III;Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome;Gaucher disease type I|not specified|GBA1-related disorder",GRCh38,single nucleotide variant
GBA1,1,155239939,na,na,Pathogenic,Gaucher disease type I|Gaucher disease|not provided,GRCh38,single nucleotide variant
GBA1,1,155237576,na,na,Pathogenic/Likely pathogenic,"Gaucher disease type I|not provided|Parkinson disease, late-onset|Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome;Gaucher disease type III;Gaucher disease type I;Gaucher disease type II|Gaucher disease|7 conditions",GRCh38,single nucleotide variant
GBA1,1,155238570,na,na,Uncertain significance,not provided|Gaucher disease|not specified|Gaucher disease perinatal lethal,GRCh38,single nucleotide variant
GBA1,1,155238519,na,na,Conflicting classifications of pathogenicity,Gaucher disease type I|not provided,GRCh38,single nucleotide variant
GBA1,1,155238141,na,na,Pathogenic/Likely pathogenic,Gaucher disease type III|Gaucher disease type II|Gaucher disease type I|Gaucher disease|not provided|not specified|Lewy body dementia|7 conditions,GRCh38,single nucleotide variant
GBA1,1,155235760,na,na,Pathogenic,Gaucher disease perinatal lethal,GRCh38,single nucleotide variant
GBA1,1,155237357,na,na,Pathogenic,Gaucher disease type I,GRCh38,single nucleotide variant
GBA1,1,155236384,na,na,Pathogenic/Likely pathogenic,Gaucher disease type I|Gaucher disease type II|not provided|Gaucher disease|7 conditions,GRCh38,single nucleotide variant
GBA1,1,155238624,na,na,Pathogenic,Gaucher disease type I,GRCh38,single nucleotide variant
GBA1,1,155238144,na,na,Uncertain significance,Gaucher disease type I|Gaucher disease|not provided,GRCh38,single nucleotide variant
GBA1,1,155235057,na,na,Conflicting classifications of pathogenicity,Gaucher disease type I|not provided|not specified,GRCh38,single nucleotide variant
GBA1,1,155235002,na,na,Pathogenic/Likely pathogenic,"Gaucher disease type I|Gaucher disease|7 conditions|not provided|Gaucher disease type II;Gaucher disease type III;Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome;Gaucher disease type I|Parkinson disease, late-onset|not specified",GRCh38,single nucleotide variant
GBA1,1,155240033,na,na,Pathogenic,Gaucher disease type I,GRCh38,single nucleotide variant
GBA1,1,155238215,na,na,Pathogenic,Gaucher disease type I|Gaucher disease type III|Gaucher disease|not provided|Gaucher disease type II;Gaucher disease type III;Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome;Gaucher disease type I|Gaucher disease type II|7 conditions,GRCh38,single nucleotide variant
GBA1,1,155237577,na,na,Pathogenic,Gaucher disease type I,GRCh38,single nucleotide variant
GBA1,1,155236426,na,na,Uncertain significance,Gaucher disease type I|not specified,GRCh38,single nucleotide variant
GBA1,1,155236416,na,na,Pathogenic,Gaucher disease type I,GRCh38,single nucleotide variant
GBA1,1,155236379,na,na,Likely pathogenic,Gaucher disease type II|not provided|Gaucher disease|7 conditions|Gaucher disease perinatal lethal,GRCh38,single nucleotide variant
GBA1,1,155236328,na,na,Pathogenic,Gaucher disease type II,GRCh38,single nucleotide variant
GBA1,1,155236261,na,na,Likely pathogenic,Gaucher disease type I|not provided,GRCh38,single nucleotide variant
GBA1,1,155239934,na,na,Pathogenic,"Gaucher disease type I|Gaucher disease|not provided|7 conditions|See cases|Parkinson disease, late-onset|Lewy body dementia",GRCh38,single nucleotide variant
GBA1,1,155236295,na,na,Pathogenic,Gaucher disease type III,GRCh38,single nucleotide variant
GBA1,1,155235750,na,na,Pathogenic,Gaucher disease type I,GRCh38,single nucleotide variant
GBA1,1,155236420,na,na,Pathogenic/Likely pathogenic,Gaucher disease perinatal lethal|not provided,GRCh38,single nucleotide variant
GBA1,1,155236277,na,na,Pathogenic,Gaucher disease perinatal lethal|Gaucher disease type I|not provided|Gaucher disease|7 conditions,GRCh38,single nucleotide variant
GBA1,1,155235823,na,na,Pathogenic/Likely pathogenic,Gaucher disease type I|Gaucher disease type III|Gaucher disease|Gaucher disease type I;Gaucher disease type II;Gaucher disease type III;Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome|Abnormal bleeding;Thrombocytopenia|7 conditions|not provided,GRCh38,single nucleotide variant
GBA1,1,155237453,na,na,Pathogenic,"Gaucher disease perinatal lethal|not provided|Gaucher disease|Gaucher disease type II;Gaucher disease type III;Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome;Gaucher disease type I|Parkinson disease, late-onset|7 conditions|GBA1-related disorder|Gaucher disease type I",GRCh38,single nucleotide variant
GBA1,1,155238596,na,na,Likely pathogenic,Gaucher disease perinatal lethal|Gaucher disease,GRCh38,single nucleotide variant
GBA1,1,155239716,na,na,Pathogenic/Likely pathogenic,Gaucher disease type I|Gaucher disease type III|Gaucher disease|not provided,GRCh38,single nucleotide variant
GBA1,1,155237470,na,na,Pathogenic,Gaucher disease perinatal lethal,GRCh38,single nucleotide variant
GBA1,1,155235841,na,na,Pathogenic,Gaucher disease type I,GRCh38,single nucleotide variant
GBA1,1,155235101,na,na,Pathogenic,Gaucher disease perinatal lethal,GRCh38,single nucleotide variant
GBA1,1,155237458,na,na,Conflicting classifications of pathogenicity; other,not provided|Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome;Gaucher disease type I;Gaucher disease type II;Gaucher disease type III|Gaucher disease type I|Gaucher disease perinatal lethal|Gaucher disease|not specified|GBA1-related disorder,GRCh38,single nucleotide variant
GBA1,1,155235256,na,na,Conflicting classifications of pathogenicity,"Parkinson disease, late-onset|not provided|7 conditions|not specified|Gaucher disease",GRCh38,single nucleotide variant
EIF2B2,14,75005906,na,na,Pathogenic,Vanishing white matter disease|Leukoencephalopathy with vanishing white matter 2|Leukoencephalopathy with vanishing white matter 1|not provided|See cases|EIF2B2-related disorder,GRCh38,single nucleotide variant
EIF2B2,14,75009079,na,na,Pathogenic/Likely pathogenic,Vanishing white matter disease|not provided|Leukoencephalopathy with vanishing white matter 2,GRCh38,single nucleotide variant
EIF2B2,14,75004850,na,na,Pathogenic/Likely pathogenic,Leukoencephalopathy with vanishing white matter 2|not provided,GRCh38,single nucleotide variant
EIF2B2,14,75004815,na,na,Likely pathogenic,Vanishing white matter disease|Leukoencephalopathy with vanishing white matter 2,GRCh38,single nucleotide variant
HTRA2;LOXL3,2,74532698,na,na,Benign/Likely benign,"Parkinson disease 13, autosomal dominant, susceptibility to|not provided",GRCh38,single nucleotide variant
HTRA2,2,74530427,na,na,Benign,"Parkinson disease 13, autosomal dominant, susceptibility to|not provided|Parkinson disease 13, autosomal dominant, susceptibility to;3-methylglutaconic aciduria type 8",GRCh38,single nucleotide variant
ATL1,14,50613343,na,na,Pathogenic/Likely pathogenic,"Hereditary spastic paraplegia 3A|not provided|Spastic paraplegia|Neuropathy, hereditary sensory, type 1D;Hereditary spastic paraplegia 3A|Hereditary spastic paraplegia",GRCh38,single nucleotide variant
ATL1,14,50614425,na,na,Pathogenic,Hereditary spastic paraplegia 3A,GRCh38,single nucleotide variant
ATL1,14,50614422,na,na,Pathogenic,Hereditary spastic paraplegia 3A,GRCh38,single nucleotide variant
ATL1,14,50613278,na,na,Pathogenic/Likely pathogenic,Hereditary spastic paraplegia 3A|not provided,GRCh38,single nucleotide variant
ATL1,14,50628133,na,na,Pathogenic,Hereditary spastic paraplegia 3A,GRCh38,single nucleotide variant
ATL1,14,50628154,na,na,Pathogenic/Likely pathogenic,Hereditary spastic paraplegia 3A|Inborn genetic diseases|not provided,GRCh38,single nucleotide variant
ATL1,14,50591587,na,na,Pathogenic,Hereditary spastic paraplegia 3A,GRCh38,single nucleotide variant
EGLN1,1,231374041,na,na,Conflicting classifications of pathogenicity,"Erythrocytosis, familial, 3|not specified",GRCh38,single nucleotide variant
EGLN1,1,231370598,na,na,Pathogenic,"Erythrocytosis, familial, 3",GRCh38,single nucleotide variant
EGLN1,1,231370589,na,na,Pathogenic,"Erythrocytosis, familial, 3",GRCh38,single nucleotide variant
PRPF31,19,54123867,na,na,Pathogenic,Retinitis pigmentosa 11,GRCh38,single nucleotide variant
PRPF31,19,54123563,na,na,Pathogenic/Likely pathogenic,Retinitis pigmentosa 11|Retinal dystrophy|not provided,GRCh38,single nucleotide variant
PRPF31,19,54123802,na,na,Pathogenic,Retinitis pigmentosa 11,GRCh38,single nucleotide variant
PRPF31,19,54130024,na,na,Pathogenic,Retinitis pigmentosa 11|not provided,GRCh38,single nucleotide variant
DHCR24,1,54852372,na,na,Likely pathogenic,Desmosterolosis,GRCh38,single nucleotide variant
DHCR24,1,54865442,na,na,no classification for the single variant,-,GRCh38,single nucleotide variant
DHCR24,1,54875134,na,na,Likely pathogenic,Desmosterolosis,GRCh38,single nucleotide variant
NLRP3,1,247424765,na,na,Pathogenic/Likely pathogenic,"Familial cold autoinflammatory syndrome 1|not provided|Cryopyrin associated periodic syndrome|Keratitis fugax hereditaria;Familial cold autoinflammatory syndrome 1;Hearing loss, autosomal dominant 34, with or without inflammation;Familial amyloid nephropathy with urticaria AND deafness;Chronic infantile neurological, cutaneous and articular syndrome|Autoinflammatory syndrome",GRCh38,single nucleotide variant
NLRP3,1,247424041,na,na,Conflicting classifications of pathogenicity,"Familial cold autoinflammatory syndrome 1|Familial cold autoinflammatory syndrome 1;Familial amyloid nephropathy with urticaria AND deafness;Chronic infantile neurological, cutaneous and articular syndrome|not provided|Familial cold autoinflammatory syndrome|not specified|Cryopyrin associated periodic syndrome|Hearing loss, autosomal dominant 34, with or without inflammation|Kidney disorder|Keratitis fugax hereditaria;Familial cold autoinflammatory syndrome 1;Hearing loss, autosomal dominant 34, with or without inflammation;Familial amyloid nephropathy with urticaria AND deafness;Chronic infantile neurological, cutaneous and articular syndrome|Autoinflammatory syndrome|NLRP3-related disorder|Chronic infantile neurological, cutaneous and articular syndrome",GRCh38,single nucleotide variant
NLRP3,1,247425329,na,na,Likely pathogenic,Familial cold autoinflammatory syndrome 1|Autoinflammatory syndrome,GRCh38,single nucleotide variant
NLRP3,1,247424504,na,na,Pathogenic/Likely pathogenic,Familial amyloid nephropathy with urticaria AND deafness|Familial cold autoinflammatory syndrome 1|not provided|Cryopyrin associated periodic syndrome,GRCh38,single nucleotide variant
NLRP3,1,247424227,na,na,Pathogenic,Familial amyloid nephropathy with urticaria AND deafness|Familial cold autoinflammatory syndrome 1|not provided|Cryopyrin associated periodic syndrome|Autoinflammatory syndrome|NLRP3-related disorder,GRCh38,single nucleotide variant
NLRP3,1,247425154,na,na,Pathogenic,Familial amyloid nephropathy with urticaria AND deafness|Familial cold autoinflammatory syndrome 1,GRCh38,single nucleotide variant
NLRP3,1,247425167,na,na,Pathogenic,"Chronic infantile neurological, cutaneous and articular syndrome|Familial cold autoinflammatory syndrome 1",GRCh38,single nucleotide variant
NLRP3,1,247424356,na,na,Pathogenic,"Chronic infantile neurological, cutaneous and articular syndrome|Familial amyloid nephropathy with urticaria AND deafness|Familial cold autoinflammatory syndrome 1|not provided|Cryopyrin associated periodic syndrome",GRCh38,single nucleotide variant
NLRP3,1,247424375,na,na,Pathogenic,"Chronic infantile neurological, cutaneous and articular syndrome|Familial cold autoinflammatory syndrome 1",GRCh38,single nucleotide variant
NLRP3,1,247424507,na,na,Pathogenic,"Familial cold autoinflammatory syndrome 1|not provided|not specified|Cryopyrin associated periodic syndrome|Hearing loss, autosomal dominant 34, with or without inflammation;Keratitis fugax hereditaria;Chronic infantile neurological, cutaneous and articular syndrome;Familial cold autoinflammatory syndrome 1;Familial amyloid nephropathy with urticaria AND deafness|NLRP3-related disorder",GRCh38,single nucleotide variant
BSND,1,54999187,na,na,Pathogenic,Bartter disease type 4A|not provided,GRCh38,single nucleotide variant
BSND,1,54999208,na,na,Pathogenic/Likely pathogenic,Bartter disease type 4A|Bartter syndrome|not provided,GRCh38,single nucleotide variant
BSND,1,54999189,na,na,Pathogenic/Likely pathogenic,Bartter disease type 4A|not provided|Bartter syndrome,GRCh38,single nucleotide variant
BSND,1,54999214,na,na,Pathogenic/Likely pathogenic,Bartter disease type 4A|Bartter syndrome|not provided,GRCh38,single nucleotide variant
BSND,1,54999209,na,na,Pathogenic,Bartter disease type 4A,GRCh38,single nucleotide variant
BSND,1,54999325,na,na,Pathogenic/Likely pathogenic,"Bartter disease type 4A|not provided|Bartter syndrome|BSND-related disorder|Bartter syndrome type 4|Hearing loss, autosomal recessive",GRCh38,single nucleotide variant
BSND,1,54999221,na,na,Pathogenic,"Sensorineural deafness with mild renal dysfunction|Bartter disease type 4A|Hearing loss, autosomal recessive|not provided|Bartter syndrome",GRCh38,single nucleotide variant
